,0
23456789,257
54238976,256
76893254,256
98674532,256
23549876,256
54237698,256
45236798,256
23547698,256
76892345,256
76895423,256
98673254,256
98672354,256
67895432,256
54237689,256
45326798,256
76894532,256
98673245,256
23456798,256
98675432,256
32459876,256
54327689,256
23459867,256
76985423,256
98764523,256
54236789,256
32547689,256
32457689,256
89673254,256
89675423,256
98763254,256
76894523,256
76983254,256
89672354,256
67984532,256
54327698,256
32458967,256
45328976,256
32457698,256
67983245,256
32456789,256
67892354,256
89672345,256
76982354,256
45238976,256
54326798,256
32546798,256
32547698,256
45327689,256
76892354,256
23459876,256
32546789,256
45238967,256
32549867,256
45237698,256
32456798,256
67982345,256
76895432,256
54236798,256
76982345,256
32549876,256
67985423,256
89674532,256
67983254,256
98762354,256
89675432,256
67895423,256
23457698,256
23457689,256
67985432,256
54239867,256
23549867,256
89763245,256
98674523,256
89763254,256
32548967,256
45239867,256
54328967,256
98762345,256
89673245,256
54329876,256
54239876,256
54328976,256
23546798,256
89764523,256
23548976,256
76984523,256
32548976,256
98764532,256
98672345,256
23458967,256
76893245,256
45239876,256
45237689,256
89764532,256
54326789,256
98765423,256
89765423,256
98675423,256
76984532,256
45236789,256
32458976,256
23547689,256
89762345,256
54329867,256
67894532,256
45329876,256
67982354,256
89765432,256
45329867,256
23546789,256
45326789,256
67893254,256
76983245,256
89762354,256
67892345,256
54238967,256
45328967,256
23548967,256
89674523,256
45327698,256
67984523,256
32459867,256
67894523,256
23458976,256
67893245,256
98763245,256
76985432,256
98765432,256
79685432,128
97864532,128
45239687,128
53247698,128
98674352,128
98764253,128
69783254,128
96872345,128
76893542,128
24536789,128
54236879,128
98762453,128
32547986,128
78964523,128
54237986,128
97683245,128
45237896,128
23458679,128
96872354,128
54329678,128
76984235,128
89674253,128
89763452,128
89673542,128
79862354,128
43526789,128
54327986,128
25439876,128
68973254,128
89762435,128
25437689,128
32457986,128
89674352,128
97685423,128
45236897,128
25437698,128
76894253,128
89674235,128
54237896,128
42359876,128
67985243,128
45329687,128
76894352,128
52347698,128
96782345,128
35246789,128
67894325,128
68793254,128
76984352,128
98763524,128
42538967,128
54326879,128
34258976,128
98764325,128
23459768,128
45328697,128
42536789,128
32546897,128
23459678,128
34257698,128
87693254,128
45238697,128
34527689,128
76982435,128
89672534,128
89765234,128
76892534,128
24536798,128
35426789,128
45238679,128
32459678,128
86795432,128
54328796,128
35428967,128
35246798,128
54327896,128
69785432,128
42539867,128
35429867,128
67982435,128
89763524,128
89672543,128
67983524,128
96784532,128
87695432,128
96874532,128
23457968,128
34528976,128
24359867,128
68972354,128
54326897,128
53427689,128
35249876,128
54237968,128
53247689,128
96785432,128
23546987,128
35249867,128
32549687,128
42539876,128
96873254,128
25438967,128
42357698,128
24356798,128
54239768,128
67982534,128
96784523,128
97862345,128
45328679,128
23458796,128
98674253,128
79682354,128
96782354,128
76892543,128
79683254,128
98765342,128
67893542,128
76985243,128
96875423,128
25436798,128
67985234,128
23546978,128
97682345,128
42536798,128
69783245,128
76985342,128
79864532,128
87965423,128
54328679,128
89672435,128
86792354,128
79684523,128
32456897,128
76982534,128
24357689,128
54329687,128
76895324,128
24356789,128
89765324,128
32548697,128
53427698,128
45327968,128
98672435,128
97684523,128
97863245,128
87692354,128
32458796,128
34258967,128
24539867,128
24358967,128
76982543,128
23459687,128
25439867,128
35427689,128
35426798,128
43527689,128
67983452,128
96873245,128
53248976,128
43528976,128
35247689,128
34259876,128
32458769,128
68975432,128
45236879,128
24358976,128
79863254,128
32548769,128
98672534,128
53246789,128
54239678,128
69872354,128
45326978,128
24357698,128
24537698,128
54327869,128
34256798,128
54327968,128
69874532,128
54236897,128
23456897,128
86974532,128
76894235,128
76893452,128
67985342,128
32458697,128
52437698,128
25349867,128
89762453,128
45239786,128
86972354,128
54239687,128
98764352,128
76983542,128
43529876,128
54238796,128
89673524,128
32459768,128
78695432,128
42356798,128
54236978,128
98672543,128
42356789,128
97863254,128
87694532,128
68794523,128
34529876,128
89764253,128
32457896,128
89764352,128
53426798,128
69784532,128
78963245,128
45327869,128
89675324,128
23548769,128
68975423,128
25349876,128
76892453,128
87965432,128
98675234,128
86793245,128
52438976,128
32546987,128
69872345,128
78692354,128
76985324,128
78963254,128
54329786,128
79862345,128
32549768,128
69874523,128
23547968,128
34529867,128
98675342,128
32456978,128
53249876,128
86794532,128
89764235,128
67895324,128
24538967,128
69875423,128
67895234,128
32549678,128
67892453,128
52437689,128
25346789,128
79865423,128
23548796,128
53429876,128
67984235,128
23549687,128
23549768,128
45239768,128
76895342,128
87964523,128
67895243,128
34256789,128
34259867,128
68794532,128
32546978,128
78965423,128
23546897,128
25346798,128
34526789,128
79863245,128
68793245,128
42538976,128
78962345,128
78693254,128
53246798,128
98675243,128
34526798,128
98763425,128
45237986,128
45326987,128
67892543,128
32549786,128
45237968,128
23459786,128
87963254,128
67985324,128
54236987,128
54329768,128
98763542,128
76894325,128
98672453,128
86973245,128
89675342,128
54238697,128
76985234,128
76895234,128
76892435,128
32547869,128
67892534,128
78965432,128
79684532,128
98763452,128
67895342,128
45237869,128
24538976,128
98762534,128
45238769,128
45236978,128
35427698,128
76983524,128
86794523,128
89675234,128
89765342,128
67894253,128
32547968,128
24537689,128
96875432,128
54328697,128
23458769,128
32456879,128
98762543,128
96785423,128
23549678,128
67893452,128
42537698,128
24359876,128
43258976,128
87962345,128
89675243,128
67894352,128
42357689,128
98675324,128
68974532,128
25347689,128
53249867,128
98762435,128
78694532,128
32546879,128
53426789,128
68972345,128
86973254,128
25347698,128
32548796,128
78962354,128
78964532,128
87693245,128
89764325,128
98674235,128
24539876,128
76984325,128
87962354,128
23549786,128
53429867,128
43529867,128
23457869,128
87964532,128
45236987,128
32456987,128
69784523,128
69875432,128
25438976,128
98673542,128
54238679,128
67892435,128
67894235,128
86793254,128
42359867,128
87695423,128
23547986,128
87692345,128
45329678,128
79864523,128
79865432,128
87963245,128
98764235,128
52347689,128
76895243,128
98674325,128
45326897,128
45238796,128
32547896,128
86975432,128
68973245,128
54238769,128
52438967,128
43526798,128
67984253,128
43258967,128
67984325,128
25436789,128
68974523,128
97864523,128
79682345,128
89762543,128
96874523,128
69782354,128
98765243,128
68792345,128
25348967,128
52439867,128
67984352,128
23456879,128
42358976,128
68792354,128
23548679,128
52436798,128
97682354,128
96783245,128
43256789,128
54239786,128
23456978,128
89763425,128
54328769,128
67983425,128
68795432,128
35428976,128
97683254,128
42537689,128
43259876,128
43527698,128
45329786,128
52348967,128
52349867,128
43259867,128
43528967,128
76893524,128
97865432,128
23456987,128
52348976,128
67982453,128
98673425,128
98673524,128
89672453,128
76983425,128
45328796,128
97865423,128
86792345,128
23547896,128
86975423,128
32548679,128
69873254,128
86972345,128
54326978,128
97685432,128
67982543,128
96783254,128
69782345,128
52349876,128
34528967,128
23547869,128
67893524,128
98673452,128
45326879,128
23457896,128
34257689,128
32459687,128
69873245,128
45328769,128
35248976,128
32457869,128
97684532,128
45327896,128
52346798,128
45239678,128
78695423,128
23458697,128
23548697,128
97862354,128
79683245,128
52436789,128
45327986,128
67983542,128
89765243,128
78694523,128
53428976,128
43257689,128
78693245,128
89673425,128
87694523,128
32459786,128
32458679,128
34527698,128
23546879,128
89674325,128
76982453,128
98765234,128
89763542,128
86795423,128
89762534,128
35248967,128
79685423,128
43256798,128
23457986,128
35429876,128
54326987,128
42358967,128
45329768,128
43257698,128
52439876,128
89673452,128
76984253,128
86974523,128
76893425,128
68795423,128
52346789,128
25348976,128
54237869,128
98765324,128
35247698,128
32457968,128
53248967,128
69785423,128
76983452,128
67893425,128
53428967,128
78692345,128
46987523,64
89637254,64
76942358,64
92768345,64
48236795,64
57982346,64
32586794,64
89547623,64
23758946,64
45763298,64
27459836,64
73895462,64
43259678,64
32947658,64
45286739,64
89476532,64
35427986,64
76834529,64
56897432,64
54397682,64
74235689,64
95678423,64
98275436,64
76324589,64
98643257,64
32765498,64
24536879,64
76489523,64
38459276,64
83546729,64
42356879,64
93765428,64
76482359,64
98623754,64
94763258,64
45729863,64
89642375,64
73548926,64
23654789,64
89632745,64
89267354,64
32758946,64
54937682,64
89736245,64
32846759,64
76834592,64
36892754,64
38459267,64
53429678,64
54839267,64
56239874,64
97683452,64
98547632,64
93452876,64
74986523,64
98726354,64
79683425,64
23578964,64
23749856,64
62458973,64
45379862,64
32957648,64
36894572,64
27893645,64
59678432,64
36984527,64
89653247,64
32568947,64
28546793,64
69874235,64
47895623,64
49236785,64
76489532,64
98236754,64
67852394,64
34526978,64
27985436,64
67495823,64
48763259,64
47325698,64
48673295,64
36895427,64
84763295,64
64895732,64
76235498,64
69872534,64
84327695,64
67298354,64
45982376,64
23485976,64
63457289,64
98325476,64
87693524,64
76283945,64
59764823,64
68793524,64
48763295,64
79682453,64
45396728,64
94325867,64
32596784,64
76238954,64
32567498,64
32947685,64
39452867,64
87963524,64
67394582,64
69782543,64
42357896,64
23845967,64
63459872,64
23659874,64
45263798,64
82679345,64
97684325,64
89267345,64
79863425,64
79682435,64
87693425,64
98376254,64
39548276,64
35248679,64
32479856,64
27548963,64
89725463,64
54296738,64
35428679,64
67834592,64
29764538,64
45836729,64
98562347,64
94763285,64
82453976,64
65983247,64
45928367,64
54678932,64
23476589,64
85324976,64
78963524,64
98725463,64
37458926,64
89735462,64
28547639,64
79865342,64
24539786,64
35427896,64
38457629,64
23645798,64
24356987,64
46893275,64
42538796,64
84239576,64
97863425,64
24359786,64
45768923,64
74326598,64
23986754,64
92674583,64
89572364,64
93672845,64
23847659,64
54369872,64
94673285,64
97863542,64
62459837,64
98625437,64
23498576,64
95328467,64
69785243,64
32495867,64
37549826,64
76825439,64
95324876,64
69872543,64
35429768,64
98734562,64
35426978,64
75986423,64
48326759,64
54362789,64
56234798,64
86795324,64
45296738,64
84679523,64
67593284,64
42536978,64
45832967,64
54839276,64
78964235,64
54738962,64
98273654,64
46325798,64
48765923,64
39762845,64
84326759,64
54289376,64
54637289,64
32567489,64
67825493,64
75982364,64
57238964,64
89625437,64
58674923,64
54837629,64
54672398,64
83542976,64
45932867,64
67324598,64
89746523,64
85237649,64
72453698,64
32658947,64
89725436,64
45269837,64
23597684,64
67829354,64
24356978,64
23476598,64
32857649,64
97683542,64
96785324,64
73549826,64
67584923,64
89742365,64
89732645,64
